date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/28/2021,PRNT,"MICHELIN (CGDE)",ML,4588364,"35,474","$5,571,940.19",1.19%
10/28/2021,PRNT,"GENERAL ELECTRIC CO",GE,369604301,"52,794","$5,482,656.90",1.17%
10/28/2021,PRNT,"EXCO TECHNOLOGIES LTD",XTC,2325392,"675,649","$5,454,379.79",1.16%
10/28/2021,PRNT,"SIEMENS AG-REG",SIE,5727973,"33,146","$5,410,069.49",1.15%
10/28/2021,PRNT,"AEROJET ROCKETDYNE HOLDINGS",AJRD,007800105,"124,102","$5,363,688.44",1.14%
10/28/2021,PRNT,"MOOG INC-CLASS A",MOG/A,615394202,"67,244","$5,188,547.04",1.11%
10/28/2021,PRNT,"OC OERLIKON CORP AG-REG",OERL,4612757,"498,121","$5,169,717.54",1.10%
10/28/2021,PRNT,"ARCONIC CORP",ARNC,03966V107,"172,889","$5,015,509.89",1.07%
10/28/2021,PRNT,"KAISER ALUMINUM CORP",KALU,483007704,"47,478","$4,712,191.50",1.00%
10/28/2021,PRNT,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"667,009","$667,009.20",0.14%
10/28/2021,PRNT,"5N PLUS INC",VNP,B2B3VZ3,"222,098","$547,946.53",0.12%
10/28/2021,PRNT,"KONINKLIJKE DSM NV",DSM,B0HZL93,"2,407","$527,036.47",0.11%
10/28/2021,PRNT,"EVONIK INDUSTRIES AG",EVK,B5ZQ9D3,"16,053","$525,335.70",0.11%
10/28/2021,PRNT,"SANDVIK AB",SAND,B1VQ252,"20,616","$521,474.06",0.11%
10/28/2021,PRNT,ARKEMA,AKE,B0Z5YZ2,"3,852","$531,977.54",0.11%
10/28/2021,PRNT,"3M CO",MMM,88579Y101,"2,807","$500,319.68",0.11%
10/28/2021,PRNT,"TORAY INDUSTRIES INC",3402,6897143,"81,199","$505,804.11",0.11%
10/28/2021,PRNT,"HENKEL AG & CO KGAA VOR-PREF",HEN3,5076705,"5,575","$496,300.01",0.11%
10/28/2021,PRNT,"VOESTALPINE AG",VOE,4943402,"13,338","$505,959.89",0.11%
10/28/2021,PRNT,"CARPENTER TECHNOLOGY",CRS,144285103,"15,178","$461,562.98",0.10%
10/28/2021,PRNT,"DUPONT DE NEMOURS INC",DD,26614N102,"7,061","$488,268.15",0.10%
10/28/2021,PRNT,"EASTMAN CHEMICAL CO",EMN,277432100,"4,590","$484,474.50",0.10%
10/28/2021,PRNT,"EASTMAN KODAK CO",KODK,277461406,"70,039","$455,253.50",0.10%
10/28/2021,PRNT,"HEXCEL CORP",HXL,428291108,"8,257","$459,749.76",0.10%
10/28/2021,PRNT,"SGL CARBON SE",SGL,4818351,"47,194","$448,929.62",0.10%
10/28/2021,PRNT,"PYROGENESIS CANADA INC",PYR,B43JTF9,"124,338","$445,554.98",0.10%
10/28/2021,PRNT,"ALLEGHENY TECHNOLOGIES INC",ATI,01741R102,"29,612","$442,403.28",0.09%
10/28/2021,PRNT,"XEROX HOLDINGS CORP",XRX,98421M106,"24,813","$441,423.27",0.09%
10/28/2021,PRNT,"GREAT BRITISH POUND",,GBP,0,$0.33,0.00%
"The principal risks of investing in ARK ETFs include equity, market, management and non-diversification risks, as well as fluctuations in market value and net asset value ('NAV'). Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ETF before investing. This and other information are contained in each ETF's prospectus, which may be obtained by contacting the ETF's transfer agent The Bank of New York Mellon or by clicking here. Please read the prospectus carefully before you invest. The market price of ETF shares may differ significantly from their NAV during periods of market volatility. ETF shares may only be redeemed directly with the ETF at NAV by Authorized Participants, in very large creation units. Holdings are subject to change without notice and are not a recommendation to buy or sell any security. There can be no guarantee that an active trading market for ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Copyright 2021, ARK Investment Management LLC. All content is original and has been researched and produced by ARK Investment Management LLC unless otherwise stated. No part of this content may be reproduced in any form, or referred to in any other publication, without the express written permission of ARK Investment Management LLC. All statements made regarding companies, securities or other financial information on this site or any sites or articles relating to ARK Investment Management LLC are strictly beliefs and points of view held by ARK Investment Management and are subject to change without notice. Information contained herein has been obtained from sources believed to be reliable, but not guaranteed. This material has been distributed for informational purposes only and should not be considered as investment advice or a recommendation of any particular security, strategy or investment product.",,,,,,,
